2018-04-20 18:12:35,b'\xf0\x9f\x93\x8b Team news from Park Hall as the top two prepare to square off. #JDWPL https://t.co/96W08ehGY4',London
2018-04-20 18:12:35,b' #JDWPL Two changes for Nomads tonight with Rob Hughes and Jay Owen starting. They take the places of the suspended Jonny S\xe2\x80\xa6 https://t.co/2oXpx7i9CW',London
2018-04-20 18:11:10,"b"" #JDWPL Here's how The New Saints line-up for tonight's visit of Connah's Quay Nomads. Scott Ruscoe makes two changes to th\xe2\x80\xa6 https://t.co/j6MCcKZmky""",London
2018-04-20 17:23:57,b'Wish i was in Aber watching C town sneak a win this evening but a nightshift calls .... \n#OldGold #TheGreatEscape \n#JDWPL  #Bigame',London
2018-04-20 17:22:08,b' #JDWPL \xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xb7\xf3\xa0\x81\xac\xf3\xa0\x81\xb3\xf3\xa0\x81\xbfHuge match at the bottom of the @WPL_Official tonight as @AberystwythTown take on @CarmarthenAFC at Park Ave\xe2\x80\xa6 https://t.co/sLBDqNPR7O',London
2018-04-20 17:12:14,b'Arrived in Aber for the crunch game of MD31 in the #JDWPL. Carmarthen need to win to take the fight against the dro\xe2\x80\xa6 https://t.co/5W8v0H0nVA',London
2018-04-20 16:31:41,b' #JDWPL RT @the_nomads: Tonight is our 6\xef\xb8\x8f\xe2\x83\xa3th and final meeting of the season with @tnsfc. \n\nSo far againsts the Saints we\xe2\x80\x99ve had...\n\n\xe2\x9c\x85 1 win \n\xe2\x86\x94\xef\xb8\x8f 1\xe2\x80\xa6',London
2018-04-20 15:52:17,"b'RT @bangorcityfc: \xf0\x9f\x93\xb0 MATCH PREVIEW | @WPL_Official #JDWPL Matchday 31\n\n#Citizens v @CefnDruids \n\xf0\x9f\x97\x93\xef\xb8\x8f Sun, 22 April\n\xe2\x8f\xb1\xef\xb8\x8f 3pm Kick Off\n\nDETAILS \xe2\x8f\xa9\xe2\x80\xa6'",London
2018-04-20 15:32:37,"b""Check out @DaveJDailyPost's preview of tonight's big #JDWPL game! https://t.co/wNuD9ezRg2""",London
2018-04-20 14:44:44,"b'RT @WPL_Official: \xf0\x9f\x8f\x85 Congrats also to @BarryTownUnited boss Gavin Chesterfield, who wins the #JDWPL Manager of the Month award for March, hi\xe2\x80\xa6'",London
