2018-04-20 20:18:00,b'RT @LFC: #LFCU18s dig deep to beat @ManUtd at Kirkby. \xf0\x9f\x91\x8a\n\n\xf0\x9f\x93\xb0 How it all unfolded: https://t.co/av151czeh8 https://t.co/i08s3bon29',London
2018-04-20 20:17:58,"b'RT @LFC: Superb work from #LFCU18s in the second half, despite being down to 10 men. \xf0\x9f\x91\x8f https://t.co/mk87saSO8O'",London
2018-04-20 20:17:38,b'RT @LFC: #LFCU18s dig deep to beat @ManUtd at Kirkby. \xf0\x9f\x91\x8a\n\n\xf0\x9f\x93\xb0 How it all unfolded: https://t.co/av151czeh8 https://t.co/i08s3bon29',London
2018-04-20 20:17:31,"b'RT @LFC: Superb work from #LFCU18s in the second half, despite being down to 10 men. \xf0\x9f\x91\x8f https://t.co/mk87saSO8O'",London
2018-04-20 20:17:09,b'RT @LFC: #LFCU18s dig deep to beat @ManUtd at Kirkby. \xf0\x9f\x91\x8a\n\n\xf0\x9f\x93\xb0 How it all unfolded: https://t.co/av151czeh8 https://t.co/i08s3bon29',London
2018-04-20 20:16:50,"b'RT @LFC: Superb work from #LFCU18s in the second half, despite being down to 10 men. \xf0\x9f\x91\x8f https://t.co/mk87saSO8O'",London
2018-04-20 20:16:45,"b'RT @LFC: Superb work from #LFCU18s in the second half, despite being down to 10 men. \xf0\x9f\x91\x8f https://t.co/mk87saSO8O'",London
2018-04-20 20:16:45,b'RT @LFC: \xf0\x9f\x93\x8bOur #LFCU18s side to take on @ManUtd...\n\n\xf0\x9f\x93\xba Live coverage will get underway on @LFCTV and LFCTV GO in 2\xe2\x83\xa35\xe2\x83\xa3 minutes: https://t.co/x\xe2\x80\xa6',London
2018-04-20 20:16:02,"b'RT @LFC: Superb work from #LFCU18s in the second half, despite being down to 10 men. \xf0\x9f\x91\x8f https://t.co/mk87saSO8O'",London
2018-04-20 20:15:53,"b'RT @LFC: Superb work from #LFCU18s in the second half, despite being down to 10 men. \xf0\x9f\x91\x8f https://t.co/mk87saSO8O'",London
2018-04-20 20:15:45,b'RT @LFC: #LFCU18s dig deep to beat @ManUtd at Kirkby. \xf0\x9f\x91\x8a\n\n\xf0\x9f\x93\xb0 How it all unfolded: https://t.co/av151czeh8 https://t.co/i08s3bon29',London
2018-04-20 20:15:00,"b"" #LFCU18s RT @LFCU23sU18s: Liam Millar Goal vs Man United u18s - 20/04/18 https://t.co/zGFqGBHPud via @YouTube Don't foget to follow us on twitter #l\xe2\x80\xa6""",London
2018-04-20 20:14:39,"b'RT @LFC: Superb work from #LFCU18s in the second half, despite being down to 10 men. \xf0\x9f\x91\x8f https://t.co/mk87saSO8O'",London
2018-04-20 20:14:35,b'RT @LivEchoLFC: FULL TIME - #LFCU18s win 2-1!!\n\nhttps://t.co/BGIp5wrpBx',London
2018-04-20 20:14:30,"b"" #LFCU18s RT @LFCU23sU18s: Liam Millar Goal vs Man United u18s - 20/04/18 https://t.co/zGFqGBHPud via @YouTube Don't foget to follow us on twitter #l\xe2\x80\xa6""",London
2018-04-20 20:14:29,"b'RT @LFC: Superb work from #LFCU18s in the second half, despite being down to 10 men. \xf0\x9f\x91\x8f https://t.co/mk87saSO8O'",London
2018-04-20 20:14:25,b'RT @LFC: #LFCU18s dig deep to beat @ManUtd at Kirkby. \xf0\x9f\x91\x8a\n\n\xf0\x9f\x93\xb0 How it all unfolded: https://t.co/av151czeh8 https://t.co/i08s3bon29',London
2018-04-20 20:14:16,b'RT @LFC: #LFCU18s dig deep to beat @ManUtd at Kirkby. \xf0\x9f\x91\x8a\n\n\xf0\x9f\x93\xb0 How it all unfolded: https://t.co/av151czeh8 https://t.co/i08s3bon29',London
2018-04-20 20:14:12,b'RT @LFC: \xf0\x9f\x93\x8bOur #LFCU18s side to take on @ManUtd...\n\n\xf0\x9f\x93\xba Live coverage will get underway on @LFCTV and LFCTV GO in 2\xe2\x83\xa35\xe2\x83\xa3 minutes: https://t.co/x\xe2\x80\xa6',London
2018-04-20 20:14:00,"b""Liam Millar Goal vs Man United u18s - 20/04/18 https://t.co/zGFqGBHPud via @YouTube Don't foget to follow us on twitter #lfcu18s""",London
2018-04-20 20:13:55,"b'RT @LFC: Superb work from #LFCU18s in the second half, despite being down to 10 men. \xf0\x9f\x91\x8f https://t.co/mk87saSO8O'",London
