2018-04-20 20:11:26,b'RT @bbcmusic: \xf0\x9f\x92\x95@ShawnMendes is HERE! #SoundsLikeFridayNight https://t.co/AANb9N88JM',London
2018-04-20 20:11:23,b'RT @bbcmusic: The first time @ShawnMendes has performed live in front of an audience this year \xf0\x9f\x92\x95 #SoundsLikeFridayNight https://t.co/dFnJmb\xe2\x80\xa6',London
2018-04-20 20:11:16,"b""RT @bbcmusic: HOW GREAT was @ShawnMendes 'In My Blood' performance? \xf0\x9f\x92\x95\n#SoundsLikeFridayNight https://t.co/wC7UIpsulC""",London
2018-04-20 20:11:15,b'RT @bbcmusic: The first time @ShawnMendes has performed live in front of an audience this year \xf0\x9f\x92\x95 #SoundsLikeFridayNight https://t.co/dFnJmb\xe2\x80\xa6',London
2018-04-20 20:11:09,"b""RT @bbcmusic: Can we just take a moment to appreciate that @ShawnMendes performance of 'In My Blood'? \xf0\x9f\x98\x8d \xe2\x9d\xa4\xef\xb8\x8f\n#SoundsLikeFridayNight https://t\xe2\x80\xa6""",London
2018-04-20 20:11:05,b'RT @bbcmusic: The first time @ShawnMendes has performed live in front of an audience this year \xf0\x9f\x92\x95 #SoundsLikeFridayNight https://t.co/dFnJmb\xe2\x80\xa6',London
2018-04-20 20:10:45,"b""RT @bbcmusic: 'Lost In Japan' was a world exclusive #SoundsLikeFridayNight performance from @ShawnMendes \xf0\x9f\x92\x95\n\nWhat did you think? \xe2\x9d\xa4\xef\xb8\x8f\nWatch in\xe2\x80\xa6""",London
2018-04-20 20:10:43,b'RT @bbcmusic: \xf0\x9f\x92\x95@ShawnMendes is HERE! #SoundsLikeFridayNight https://t.co/AANb9N88JM',London
2018-04-20 20:10:42,b'RT @bbcmusic: \xe2\x9d\xa4\xef\xb8\x8f @JorjaSmith this was utterly stunning #BlueLights\n#SoundsLikeFridayNight https://t.co/rxQGqJSvvm',London
2018-04-20 20:10:42,"b""RT @bbcmusic: 'Lost In Japan' was a world exclusive #SoundsLikeFridayNight performance from @ShawnMendes \xf0\x9f\x92\x95\n\nWhat did you think? \xe2\x9d\xa4\xef\xb8\x8f\nWatch in\xe2\x80\xa6""",London
2018-04-20 20:10:37,"b' #SoundsLikeFridayNight RT @shawnwwreports: Shawn performing Lost In Japan tonight on Sounds Like Friday Night! \n\n(Part One/Two)\nApril 20, 2018 #SoundsLikeFridayNi\xe2\x80\xa6'",London
2018-04-20 20:10:27,b'RT @bbcmusic: \xe2\x9d\xa4\xef\xb8\x8f @JorjaSmith this was utterly stunning #BlueLights\n#SoundsLikeFridayNight https://t.co/rxQGqJSvvm',London
2018-04-20 20:10:24,b'RT @niallerdiaries: \xf0\x9f\x93\xb2UPDATE II Niall will be on @BBC #SoundsLikeFridayNight on upcoming Friday !! https://t.co/HYoH4UkbMt',London
2018-04-20 20:10:10,b'Honestly have you ever seen anything more tragic than #SoundsLikeFridayNight ??',London
2018-04-20 20:10:04,b'RT @bbcmusic: The first time @ShawnMendes has performed live in front of an audience this year \xf0\x9f\x92\x95 #SoundsLikeFridayNight https://t.co/dFnJmb\xe2\x80\xa6',London
2018-04-20 20:10:01,"b' #SoundsLikeFridayNight RT @shawnwwreports: Shawn performing Lost In Japan tonight on Sounds Like Friday Night! \n\n(Part One/Two)\nApril 20, 2018 #SoundsLikeFridayNi\xe2\x80\xa6'",London
2018-04-20 20:09:59,b'RT @TrackingSM: THE! CROWD!\n#SoundsLikeFridayNight https://t.co/mAmmbh96f1',London
2018-04-20 20:09:58,"b' #SoundsLikeFridayNight RT @shawnwwreports: Shawn performing Lost In Japan tonight on Sounds Like Friday Night! \n\n(Part One/Two)\nApril 20, 2018 #SoundsLikeFridayNi\xe2\x80\xa6'",London
2018-04-20 20:09:53,"b""RT @bbcmusic: Can we just take a moment to appreciate that @ShawnMendes performance of 'In My Blood'? \xf0\x9f\x98\x8d \xe2\x9d\xa4\xef\xb8\x8f\n#SoundsLikeFridayNight https://t\xe2\x80\xa6""",London
2018-04-20 20:09:53,b'RT @bbcmusic: What a pair \xf0\x9f\x98\x8d\n@GregJames @ShawnMendes #SoundsLikeFridayNight https://t.co/sqb617GuOI',London
2018-04-20 20:09:37,"b' #SoundsLikeFridayNight RT @shawnwwreports: Shawn performing Lost In Japan tonight on Sounds Like Friday Night! \n\n(Part One/Two)\nApril 20, 2018 #SoundsLikeFridayNi\xe2\x80\xa6'",London
2018-04-20 20:09:33,"b' #SoundsLikeFridayNight RT @shawnwwreports: Shawn performing Lost In Japan tonight on Sounds Like Friday Night! \n\n(Part One/Two)\nApril 20, 2018 #SoundsLikeFridayNi\xe2\x80\xa6'",London
2018-04-20 20:09:30,"b' #SoundsLikeFridayNight RT @shawnwwreports: Shawn performing Lost In Japan tonight on Sounds Like Friday Night! \n\n(Part One/Two)\nApril 20, 2018 #SoundsLikeFridayNi\xe2\x80\xa6'",London
2018-04-20 20:09:24,b'RT @NJHNEWS: Niall will be on @BBC\xe2\x80\x99s #SoundsLikeFridayNight next week! (April 27th)',London
2018-04-20 20:09:22,"b' #SoundsLikeFridayNight Shawn performing Lost In Japan tonight on Sounds Like Friday Night! \n\n(Part One/Two)\nApril 20, 2018\xe2\x80\xa6 https://t.co/b1JweGnbnm'",London
2018-04-20 20:09:19,b'RT @bbcmusic: We think the #SoundsLikeFridayNight crowd enjoyed @ShawnMendes \xf0\x9f\x98\x8e https://t.co/PBWhNW0EVo',London
2018-04-20 20:09:12,b'RT @bbcmusic: \xf0\x9f\x92\x95@ShawnMendes is HERE! #SoundsLikeFridayNight https://t.co/AANb9N88JM',London
2018-04-20 20:09:10,"b""RT @bbcmusic: Can we just take a moment to appreciate that @ShawnMendes performance of 'In My Blood'? \xf0\x9f\x98\x8d \xe2\x9d\xa4\xef\xb8\x8f\n#SoundsLikeFridayNight https://t\xe2\x80\xa6""",London
2018-04-20 20:09:10,b'RT @bbcmusic: When @AmplifyDot met @CharliePuth \xf0\x9f\x98\x82\xf0\x9f\x98\x82\n#SoundsLikeFridayNight https://t.co/N16iCMJPNY',London
2018-04-20 20:09:08,b'RT @bbcmusic: We think the #SoundsLikeFridayNight crowd enjoyed @ShawnMendes \xf0\x9f\x98\x8e https://t.co/PBWhNW0EVo',London
2018-04-20 20:09:05,b'RT @bbcmusic: \xe2\x9a\xa1\xef\xb8\x8f@CharliePuth + \xf0\x9f\x8e\xb9= perfection \n#SoundsLikeFridayNight https://t.co/XDKpAucHAM',London
2018-04-20 20:09:05,b'RT @bbcmusic: The first time @ShawnMendes has performed live in front of an audience this year \xf0\x9f\x92\x95 #SoundsLikeFridayNight https://t.co/dFnJmb\xe2\x80\xa6',London
2018-04-20 20:09:03,"b' #SoundsLikeFridayNight RT @Corbynator2: ""He\'s put up with the most appalling abuse and he\'s stood it with dignity and stoicism.""\n\nArsenal fan Jeremy Corbyn talks\xe2\x80\xa6'",London
2018-04-20 20:09:00,b'RT @niallerdiaries: \xf0\x9f\x93\xb2UPDATE II Niall will be on @BBC #SoundsLikeFridayNight on upcoming Friday !! https://t.co/HYoH4UkbMt',London
2018-04-20 20:08:59,b'RT @TrackingSM: THE! CROWD!\n#SoundsLikeFridayNight https://t.co/mAmmbh96f1',London
2018-04-20 20:08:58,"b""RT @bbcmusic: HOW GREAT was @ShawnMendes 'In My Blood' performance? \xf0\x9f\x92\x95\n#SoundsLikeFridayNight https://t.co/wC7UIpsulC""",London
2018-04-20 20:08:52,b' #SoundsLikeFridayNight RT @DucatiGlasgow: First ever #Ducati #Panigale #V4 on @krcircuit tonight for our Ducati #Glasgow #TrackNight!! \xf0\x9f\x98\xb1 #FridayFeeling #SoundsLik\xe2\x80\xa6',London
2018-04-20 20:08:49,b'RT @bbcmusic: \xe2\x9d\xa4\xef\xb8\x8f @JorjaSmith this was utterly stunning #BlueLights\n#SoundsLikeFridayNight https://t.co/rxQGqJSvvm',London
2018-04-20 20:08:46,"b' #SoundsLikeFridayNight RT @Corbynator2: ""He\'s put up with the most appalling abuse and he\'s stood it with dignity and stoicism.""\n\nArsenal fan Jeremy Corbyn talks\xe2\x80\xa6'",London
2018-04-20 20:08:37,b'RT @ShawnMTrack: Shawn performing In my blood tonight in #SoundsLikeFridayNight https://t.co/lrGoM8YhqK',London
2018-04-20 20:08:36,"b""RT @bbcmusic: Can we just take a moment to appreciate that @ShawnMendes performance of 'In My Blood'? \xf0\x9f\x98\x8d \xe2\x9d\xa4\xef\xb8\x8f\n#SoundsLikeFridayNight https://t\xe2\x80\xa6""",London
2018-04-20 20:08:26,b'RT @bbcmusic: Hands up if you noticed @ShawnMendes bopping to @CraigDavid \xf0\x9f\x98\x8e\n#SoundsLikeFridayNight https://t.co/IEfFRapfB2',London
