2018-04-20 14:47:20,b'I am participating in #cosyreadingnight today and planning on attempting to vlog my journey. So excited for chilling and eating chocolate.',London
2018-04-20 14:33:21,b'So want to feel better for #cosyreadingnight',London
2018-04-20 14:31:56,"b""@laurenthebooks Really looking forward to #cosyreadingnight ; it's been a difficult week and I have a good book or\xe2\x80\xa6 https://t.co/gAhn9mXUCj""",London
2018-04-20 14:25:27,"b""I just realized that #cosyreadingnight is today... I can't decide what to read \xf0\x9f\x98\x85""",London
2018-04-20 14:12:31,b' #cosyreadingnight @laurenthebooks I\xe2\x80\x99ll be finishing off the second in the Miss Peregrine trilogy called \xe2\x80\x98Hallow City\xe2\x80\x99 by @ransomriggs\xe2\x80\xa6 https://t.co/CQHQrqxMHV',London
2018-04-20 13:03:40,b'RT @StPartridge: Friday Reads 04/20/18! #BookTube #cosyreadingnight https://t.co/HV3MhyViPi',London
2018-04-20 12:50:39,b'YAY! can not wait til this begins. I will be vlogging for my first time though my first #cosyreadingnight https://t.co/fwYmNCng1p',London
2018-04-20 12:35:28,b' #cosyreadingnight Feeling absolutely awful today with this cold I\xe2\x80\x99ve got. Can\xe2\x80\x99t stop coughing and all my muscles are on fire. Wish I\xe2\x80\xa6 https://t.co/A8fISOUayP',London
2018-04-20 12:28:18,b'As it is #cosyreadingnight I am going to take a slight detour from my scheduled reading to pick up this limited edi\xe2\x80\xa6 https://t.co/1LcDo0S4gM',London
2018-04-20 12:28:17,b' #cosyreadingnight @laurenthebooks Me! Going to read some more of Miss Burma - book #11 of my read through the @WomensPrize longlist.\xe2\x80\xa6 https://t.co/RPblpxOTNh',London
2018-04-20 12:19:35,b'Friday Reads 04/20/18! #BookTube #cosyreadingnight https://t.co/HV3MhyViPi',London
2018-04-20 10:09:45,"b'Wait, British people spell cozy with an s?? #hashtagfail #cosyreadingnight'",London
2018-04-20 09:49:04,b'RT @laurenthebooks: #cosyreadingnight is TONIGHT 1900hrs-2200hrs BST. Who is joining in and who is ready for the RELAXXXXX? https://t.co/aQ\xe2\x80\xa6',London
2018-04-20 09:06:35,b'I\xe2\x80\x99m reading this tonight for #cosyreadingnight been ages since I\xe2\x80\x99ve read any brandsanderson and\xe2\x80\xa6 https://t.co/oWCZk8uyfH',London
2018-04-20 07:28:00,b'#cosyreadingnight is TONIGHT 1900hrs-2200hrs BST. Who is joining in and who is ready for the RELAXXXXX? https://t.co/aQvL9KxMwX',London
2018-04-20 06:15:34,b'So excited for tonight\xe2\x80\x99s #cosyreadingnight .. It will serve as a lovely break from all my exam studies!! Thank you\xe2\x80\xa6 https://t.co/XEcsjRYmL6',London
2018-04-20 06:06:07,b'@laurenthebooks I\xe2\x80\x99ll be joining you for #cosyreadingnight \xf0\x9f\x98\x8a\xf0\x9f\x93\x9a\xf0\x9f\x93\x98I will continue reading Emma Donoghue\xe2\x80\x99s \xe2\x80\x9cAstray\xe2\x80\x9d.. not sure on the food yet!!',London
2018-04-20 02:09:04,"b""Getting ready for the Spring edition of #cosyreadingnight hosted by @laurenthebooks (even though it's Autumn here i\xe2\x80\xa6 https://t.co/VDsfeZNFnS""",London
2018-04-20 00:39:51,"b' #cosyreadingnight @MagicalWren @laurenthebooks I am in PA so I always do 7-10 pm our time, feel free to rage me when you tweet about\xe2\x80\xa6 https://t.co/nQvjAWI2Gg'",London
2018-04-19 14:07:01,"b""Tomorrow is #cosyreadingnight I am so looking forward to it. It's like a little pre-readathon before Dewey's 24 HR\xe2\x80\xa6 https://t.co/05hqsR6kgK""",London
2018-04-18 18:09:01,b'Spring Cosy Reading Night | TBR #cosyreadingnight #bookblogger #tbr https://t.co/axRsE1tcpF https://t.co/caI7uaMPY5',London
2018-04-18 15:05:52,b'The #cosyreadingnight TBRs have started appearing and my babe @robertson_elena is all set for her night in! https://t.co/4qFGNAOoBE',London
2018-04-18 12:40:51,b'RT @laurenthebooks: #cosyreadingnight is THIS FRIDAY 1900hrs-2200hrs BST. Who is joining me and WHAT ARE YOU EATING? https://t.co/tf4qIMj8x7',London
2018-04-18 11:46:32,b'I am increasingly aware it is #cosyreadingnight this week and no books excite me. Send recommendations fast. I have\xe2\x80\xa6 https://t.co/OQ9AtYUXHJ',London
2018-04-18 11:26:43,b'RT @laurenthebooks: #cosyreadingnight is THIS FRIDAY 1900hrs-2200hrs BST. Who is joining me and WHAT ARE YOU EATING? https://t.co/tf4qIMj8x7',London
2018-04-18 11:23:51,b'#cosyreadingnight is THIS FRIDAY 1900hrs-2200hrs BST. Who is joining me and WHAT ARE YOU EATING? https://t.co/tf4qIMj8x7',London
2018-04-18 11:11:25,b'@laurenthebooks When\xe2\x80\x99s #cosyreadingnight?! Have I missed it? X',London
2018-04-18 10:30:20,"b' #cosyreadingnight @lornaliterally No theme, just get yourself what books you want to read, some snacks and some cosiness and you are\xe2\x80\xa6 https://t.co/YOQLfet4mE'",London
2018-04-18 10:22:16,b'Spring 2018 Cosy Reading Night | TBR #BookTube #cosyreadingnight https://t.co/VZChh2Qau0',London
2018-04-18 10:16:40,b'Going to do my first #cosyreadingnight on Friday. What do I need to know? Is there a theme? I\xe2\x80\x99ve watched\xe2\x80\xa6 https://t.co/DAXFKr7Z1r',London
