2018-04-20 18:37:20,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 18:37:00,b'Manchester United vs Tottenham Match Preview &amp; Tactical Analysis https://t.co/L8g1Ttlel5 #MUNTOT #Facup #mufc\xe2\x80\xa6 https://t.co/68716Rikuy',London
2018-04-20 18:32:48,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 18:30:00,"b"" #MUNTOT Who's not got a Coral account?\n\nJoin today and you can get A GOAL TO BE SCORED in Man United v Spurs at a HUGE 25/1\xe2\x80\xa6 https://t.co/gl0wBMfaBR""",London
2018-04-20 18:28:27,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 18:18:09,b' #MUNTOT My #PremierLeague Predictions for...\n#WBALIV\n#WATCRY\n#ARSWHU\n#STKBUR\n#MCISWA\n#EVENEW plus the #FACup Semi Finals...\xe2\x80\xa6 https://t.co/P4B0saZsfQ',London
2018-04-20 17:47:00,"b"" #MUNTOT Who's not got a Coral account?\n\nJoin today and you can get A GOAL TO BE SCORED in Man United v Spurs at a HUGE 25/1\xe2\x80\xa6 https://t.co/ACyRAGLF8W""",London
2018-04-20 17:46:58,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 17:42:27,"b'My #savacca picks: #MUNTOT = Away, #WATCRY = Away, #CHESOU= Home, #ARSWHU= Home, #MCISWA= Home https://t.co/sscljcOYpg'",London
2018-04-20 17:40:00,b' #MUNTOT \xf0\x9f\x8f\x86 FA CUP SEMI BOOST \xf0\x9f\x8f\x86\n\nRegister with Coral &amp; get 25/1 on a goal to be scored in Man Utd v Tottenham tomorrow! \xe2\x9a\xbd\n\n\xe2\x9e\xa1\xe2\x80\xa6 https://t.co/q4u33w0ezP',London
2018-04-20 17:39:27,"b'My #savacca picks: #MUNTOT = Home, #WATCRY = Away, #CHESOU= Home, #ARSWHU= Home, #MCISWA= Home https://t.co/oG2VXairoq'",London
2018-04-20 17:38:12,"b'My #savacca picks: #MUNTOT = Draw, #WATCRY = Away, #CHESOU= Home, #ARSWHU= Home, #MCISWA= Home https://t.co/ejcRDdNd90'",London
2018-04-20 17:29:57,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 17:10:00,"b' #MUNTOT \xf0\x9f\x9a\xa8MAN UTD PRICE BOOST\xf0\x9f\x9a\xa8\n\n8/1 to beat Tottenham in the #FACup semi-final here  \xe2\x9e\xa1\xef\xb8\x8fhttps://t.co/ynM6VjxFj0 \n\nBet \xc2\xa35, get\xe2\x80\xa6 https://t.co/8FGj00ZvdJ'",London
2018-04-20 16:54:50,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 16:51:59,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 16:49:14,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 16:45:54,b' #MUNTOT Cant wait to see @ManUtd with all red devils fan going together to Wembley and singing Glory Glory Man United with\xe2\x80\xa6 https://t.co/2yeHCsOFrF',London
2018-04-20 16:41:22,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 16:39:49,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 16:36:46,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 16:36:21,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 16:35:17,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 16:31:03,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 16:25:40,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 16:19:35,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 16:18:30,b' #MUNTOT It\xe2\x80\x99s the big one tomorrow. The boys need to be super motivated and put last weeks results behind them. Quick start\xe2\x80\xa6 https://t.co/Qi8CWXvqvf',London
2018-04-20 16:15:43,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 16:14:41,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 16:11:09,b'@jimbeglin @KopJanet @jimbeglin who\xe2\x80\x99s on duty for FACUP Semi final  #Muntot.  Thank you',London
2018-04-20 16:06:06,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 16:05:33,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 16:02:57,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 16:02:27,b'RT @vancityreddevil: Saturday @ 9:15am @ManUtd vs @SpursOfficial @EmiratesFACup #facupsemifinal #MUNTOT #FACup #football @Donnelly_Group @L\xe2\x80\xa6',London
2018-04-20 16:01:49,b'Saturday @ 9:15am @ManUtd vs @SpursOfficial @EmiratesFACup #facupsemifinal #MUNTOT #FACup #football @Donnelly_Group\xe2\x80\xa6 https://t.co/L93f4OfKDA',London
2018-04-20 16:00:35,b' #MUNTOT RT @footballtips: Tottenham vs Man Utd for a place in the FA Cup Final tomorrow! \xf0\x9f\x8f\x86    \n\nPreview and tips \xf0\x9f\x99\x8c\xe2\xac\x87\xef\xb8\x8f\n\nhttps://t.co/TvGgd1FCmc\n\n#Tea\xe2\x80\xa6',London
2018-04-20 16:00:02,b'Tottenham vs Man Utd for a place in the FA Cup Final tomorrow! \xf0\x9f\x8f\x86    \n\nPreview and tips \xf0\x9f\x99\x8c\xe2\xac\x87\xef\xb8\x8f\n\nhttps://t.co/TvGgd1FCmc\n\n#TeamFT #MUNTOT \xe2\x9a\xbd',London
2018-04-20 15:59:46,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 15:59:19,"b'My #savacca picks: #MUNTOT = Away, #WATCRY = Away, #CHESOU= Home, #ARSWHU= Home, #MCISWA= Home https://t.co/38GWbzKVP8'",London
2018-04-20 15:52:20,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 15:51:26,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 15:50:52,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 15:45:39,b'RT @ColossusBets: We have a #Pick4 kicking off with #MUNTOT and @DaveTindallgolf has previewed the pool with a #Syndicate available https:/\xe2\x80\xa6',London
2018-04-20 15:45:00,b' #MUNTOT \xf0\x9f\x8f\x86 FA CUP SEMI BOOST \xf0\x9f\x8f\x86\n\nRegister with Coral &amp; get 25/1 on a goal to be scored in Man Utd v Tottenham tomorrow! \xe2\x9a\xbd\n\n\xe2\x9e\xa1\xe2\x80\xa6 https://t.co/DBLF10FZa7',London
2018-04-20 15:40:00,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 15:34:55,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 15:34:13,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 15:31:12,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 15:29:15,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 15:26:50,b'RT @FootballFanCast: @wembleystadium Both sides go into the #FACup semi-final after recent wobbles \xf0\x9f\x91\x80\n\nHere are the form guides \xe2\xac\x87\xef\xb8\x8f\n\n#MUNTOT\xe2\x80\xa6',London
2018-04-20 15:25:08,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 15:24:30,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 15:24:01,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 15:21:28,"b"" #MUNTOT RT @superboomerator: Interesting how Manchester United have been using Fulham's training ground since the Bournemouth match. Didn't want to\xe2\x80\xa6""",London
2018-04-20 15:20:09,b'We have a #Pick4 kicking off with #MUNTOT and @DaveTindallgolf has previewed the pool with a #Syndicate available https://t.co/Z5f4EIkcPD',London
2018-04-20 15:19:59,"b"" #MUNTOT Interesting how Manchester United have been using Fulham's training ground since the Bournemouth match. Didn't want\xe2\x80\xa6 https://t.co/XBfwD2ROcS""",London
2018-04-20 15:19:51,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 15:19:39,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 15:19:12,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 15:18:44,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 15:17:01,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 15:16:42,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 15:16:22,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 15:13:50,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
