2018-04-17 19:32:00,b'These runners from #rdguk #bracknell and #woky are all taking on #LondonMarathon https://t.co/9Y3zOUvv7h',London
2018-04-17 18:34:11,"b' #Woky Berkshire Weather - Berkshire Overnight Forecast for Tuesday 17th April.Clear Spells,minimum temp. 6 degrees.\xe2\x80\xa6 https://t.co/CeINtoT044'",London
2018-04-17 18:32:19,"b' #Woky Berkshire Weather - Berkshire Daytime Forecast for Wednesday 18th April.Sunny, temperature of 22 degrees (72 f) loc\xe2\x80\xa6 https://t.co/QrqfNfdhBG'",London
2018-04-17 18:29:29,b' #Woky Advertising is all very well so long as you have the product available...Chicken will help in this situation! \xf0\x9f\x99\x84\xf0\x9f\x98\x8f\xf0\x9f\x90\x93\xf0\x9f\x90\x94\xe2\x80\xa6 https://t.co/HyvsyP7Lnq',London
2018-04-17 18:17:36,"b' #Woky RT @WoodleyLabour: You\xe2\x80\x99re unlikely to turn into a werewolf at midnight tonight, but if you don\xe2\x80\x99t get registered by then, you definitely won\xe2\x80\xa6'",London
2018-04-17 18:10:34,b'RT @getreading: Police are hunting for a man with a cut on his face #woky #rdguk https://t.co/zeM2Z22VP0',London
2018-04-17 18:10:13,b'RT @getreading: Police are hunting for a man with a cut on his face #woky #rdguk https://t.co/zeM2Z22VP0',London
2018-04-17 18:09:00,b'Police are hunting for a man with a cut on his face #woky #rdguk https://t.co/zeM2Z22VP0',London
2018-04-17 17:47:00,b'Both children and adults can take part in the event #Woky https://t.co/FZZHGYmzOJ',London
2018-04-17 17:44:43,"b' #Woky RT @WoodleyLabour: You\xe2\x80\x99re unlikely to turn into a werewolf at midnight tonight, but if you don\xe2\x80\x99t get registered by then, you definitely won\xe2\x80\xa6'",London
2018-04-17 17:40:29,"b' #Woky You\xe2\x80\x99re unlikely to turn into a werewolf at midnight tonight, but if you don\xe2\x80\x99t get registered by then, you definitel\xe2\x80\xa6 https://t.co/4sdOxuMKZR'",London
2018-04-17 16:45:28,b' #Woky RT @ReadingGuide: NO MIDWEEK MATCH for #ReadingFC but good game in prospect at #Maidenhead where Magpies are home to promotion-chasing Sutt\xe2\x80\xa6',London
2018-04-17 16:44:57,"b"" #Woky USUAL top list of Events in the #Rdg area today/tonight &gt; https://t.co/cTnEYKdd77 &lt; What's On, with contact details\xe2\x80\xa6 https://t.co/BYQxRgq7xu""",London
2018-04-17 16:44:49,"b'RT @getreading: Wow, these runners from #rdguk #bracknell and #woky are all amazing!  #LondonMarathon https://t.co/9Y3zOUvv7h'",London
2018-04-17 16:44:26,b' #Woky RT @ReadingGuide: TRAIN to catch or meet? Is it on time? Delayed? See &gt; https://t.co/cTnEYKdd77 &lt; for link to live departures/arrivals boar\xe2\x80\xa6',London
2018-04-17 16:32:00,"b'Wow, these runners from #rdguk #bracknell and #woky are all amazing!  #LondonMarathon https://t.co/9Y3zOUvv7h'",London
2018-04-17 15:44:30,b'RT @re3recycling: Let the battle commence! Vote now to choose the name for one of our new re3 glass recycling truck! #bracknell #rdguk #woky',London
2018-04-17 15:44:24,b' #Woky RT @re3recycling: Thank you to everyone who made suggestions for our glass recycling truck competition! We can now reveal two names that wi\xe2\x80\xa6',London
2018-04-17 15:42:32,b' #Woky RT @re3recycling: Thank you to everyone who made suggestions for our glass recycling truck competition! We can now reveal two names that wi\xe2\x80\xa6',London
2018-04-17 15:25:26,b'RT @re3recycling: Let the battle commence! Vote now to choose the name for one of our new re3 glass recycling truck! #bracknell #rdguk #woky',London
2018-04-17 15:25:15,b' #Woky RT @re3recycling: Thank you to everyone who made suggestions for our glass recycling truck competition! We can now reveal two names that wi\xe2\x80\xa6',London
2018-04-17 15:24:05,b' #Woky Tonight in #wokingham we have a North Indian Thali Platter - the idea behind a thali is to offer different flavours\xe2\x80\xa6 https://t.co/MkiUYSqe7s',London
2018-04-17 15:05:49,b'Let the battle commence! Vote now to choose the name for one of our new re3 glass recycling truck! #bracknell #rdguk #woky',London
2018-04-17 15:05:22,"b"" #Woky What are the health benefits of #coffee? This article from last year suggests there are some for 'moderate' use, un\xe2\x80\xa6 https://t.co/11YGXgkemW""",London
2018-04-17 15:02:12,b' #Woky Thank you to everyone who made suggestions for our glass recycling truck competition! We can now reveal two names t\xe2\x80\xa6 https://t.co/IuieM9PI1e',London
2018-04-17 13:32:51,b'This Saturday 10-4pm FREE demo using @CricutUK @OfficialCricut die cutting machines #rdguk #berkshire #woky #henley https://t.co/dZhoFY1gNa',London
2018-04-17 13:15:12,b'Buying a #newhome in #crowthorne #woky or #bracknell?   Come and talk to #Linolen to get the best price for all you\xe2\x80\xa6 https://t.co/Si3Qws3l9j',London
2018-04-17 13:14:43,b' #Woky NO MIDWEEK MATCH for #ReadingFC but good game in prospect at #Maidenhead where Magpies are home to promotion-chasin\xe2\x80\xa6 https://t.co/sozDfkX5ac',London
2018-04-17 13:09:29,"b"" #Woky RT @ReadingGuide: USUAL top list of Events in the #Rdg area today/tonight &gt; https://t.co/cTnEYKdd77 &lt; What's On, with contact details #Wind\xe2\x80\xa6""",London
