2018-04-20 20:01:26,b'#420day BEST 4/20 SONG EVER!!! \xf0\x9f\x8d\x83\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x92\xad\xf0\x9f\x92\xad\xf0\x9f\x8d\x83\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x8d\x83\xf0\x9f\x92\xad\xf0\x9f\x8d\x83\xf0\x9f\x8d\x83\xf0\x9f\x94\xa5\xf0\x9f\x8d\x83\xf0\x9f\x92\xad\xf0\x9f\x92\xad\xf0\x9f\x92\xad\xf0\x9f\x92\xad\xf0\x9f\x8d\x83\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x8d\x83\xf0\x9f\x92\xad\xf0\x9f\x92\xad\xf0\x9f\x8d\x83\xf0\x9f\x94\xa5\xf0\x9f\x8d\x83\xf0\x9f\x8d\x83\xf0\x9f\x8d\x83\xf0\x9f\x92\xad\xf0\x9f\x92\xad\xf0\x9f\x8d\x83\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 https://t.co/T2RjPDCaut',California
2018-04-20 20:01:26,b' #420day RT @MrFilmkritik: If ur pro-marijuana activism only supports white people starting weed shops/getting rich while there are POC in jail whos\xe2\x80\xa6',California
2018-04-20 20:01:26,b' #420day RT @eugenegu: Free all the people of color rotting in prison while John Boehner and a bunch of rich white people get richer selling weed. #\xe2\x80\xa6',California
2018-04-20 20:01:26,"b' #420day RT @FastCompany: Wanda James, the first black owner of a cannabis dispensary in weed-friendly Colorado, lights up the reality and racism of\xe2\x80\xa6'",California
2018-04-20 20:01:25,"b'RT @Newsweek: Legalizing marijuana nationwide would create one million jobs, study says https://t.co/DhUwKNzQMQ #420day https://t.co/YXOYkD\xe2\x80\xa6'",California
2018-04-20 20:01:25,"b' #420day RT @DCjusticeseeker: The Chief Organizer of the Women\xe2\x80\x99s March Movement, is radical Muslim Activist, Linda Sarsour, who is on the payroll of\xe2\x80\xa6'",California
2018-04-20 20:01:25,b' #420day RT @PodSaveAmerica: Beer drinkers smoke cannabis. Wine drinkers smoke cannabis. Moms smoke cannabis. College students smoke cannabis. White\xe2\x80\xa6',California
2018-04-20 20:01:25,b'Gotta wear my @Skybound Saga shirt today! #420day #Skybound https://t.co/akpnikOn0a',California
2018-04-20 20:01:25,"b'RT Leafly ""SnoopDogg our forever mood #420day https://t.co/Mr2t7sRpNV""'",California
2018-04-20 20:01:24,b'@litttleno Roll safe with your buds. Click here to confirm your order. https://t.co/TlNLDnSbru #SuperTroopers420 \xf0\x9f\x8c\xb2 #420day',California
2018-04-20 20:01:24,b' #420day RT @eugenegu: Free all the people of color rotting in prison while John Boehner and a bunch of rich white people get richer selling weed. #\xe2\x80\xa6',California
2018-04-20 20:01:24,"b"" #420day RT @MrFilmkritik: Today is 4/20, so here\xe2\x80\x99s a reminder that if y'all support the legalization of marijuana, you also need to be supporting d\xe2\x80\xa6""",California
2018-04-20 20:01:24,"b'RT @Lonestarindie: On this #420day I\xe2\x80\x99d just like to point out (again) how fucking asinine it is, that in my state, it\xe2\x80\x99s perfectly acceptabl\xe2\x80\xa6'",California
2018-04-20 20:01:24,"b"" #420day RT @MrFilmkritik: Today is 4/20, so here\xe2\x80\x99s a reminder that if y'all support the legalization of marijuana, you also need to be supporting d\xe2\x80\xa6""",California
2018-04-20 20:01:23,"b""RT @TheWalkingDead: When you wake up and realize it's #420day https://t.co/f3OMAfrFg4""",California
2018-04-20 20:01:23,b'RT @GratefulDead: The Story Of 420 via @RollingStone  \n#happy420 #420day\nhttps://t.co/HYLiLGcepO https://t.co/3r5sPNyeii',California
2018-04-20 20:01:22,b'RT @harikondabolu: All marijuana should be considered \xe2\x80\x9cmedicinal\xe2\x80\x9d while Trump is President. #420Day',California
