2018-04-20 19:46:19,b'These four matches are why I am a fan of pro wrestling.  #ringstruck4 https://t.co/QZ1TmQJW0m',California
2018-04-20 19:46:08,"b""It's hard to pick just four #ringstruck4 https://t.co/2rGWWEDEzq""",California
2018-04-20 19:45:58,b' #RingStruck4 RT @WrestlingSheet: the movie version of this brought some incredible discussion - so this felt needed..\n\nwe want to see the four matches t\xe2\x80\xa6',California
2018-04-20 19:45:52,b' #RingStruck4 Four of my most formative Wrestling Moments growing up and some of the all time greatest performers to ever enter a\xe2\x80\xa6 https://t.co/aGMBHCPtMm',California
2018-04-20 19:45:36,"b' #RingStruck4 I started late, but Undertaker/Batista was a fantastic blood feud. So many great matches to choose from.\xe2\x80\xa6 https://t.co/bOFGPbM3JO'",California
2018-04-20 19:45:34,b'@kerseilannister You gonna hop in this #ringstruck4? https://t.co/SUuZCAMI1T',California
2018-04-20 19:45:15,b' #RingStruck4 RT @WrestlingSheet: the movie version of this brought some incredible discussion - so this felt needed..\n\nwe want to see the four matches t\xe2\x80\xa6',California
2018-04-20 19:44:49,"b'This shit was so hard, I have so many favourite matches \xf0\x9f\x99\x8c\xf0\x9f\x98\x82 #ringstruck4 https://t.co/MYbD1Zsp7O'",California
2018-04-20 19:44:42,b'RT @WrestlingSheet: trish vs mickie is and remains underrated as hell for how incredible that storytelling was. \n\n#ringstruck4 https://t.co\xe2\x80\xa6',California
2018-04-20 19:44:24,"b'Not my all time favourites, but four matches that I absolutely love going back to rewatch. #ringstruck4 https://t.co/JsSrTAnwoY'",California
2018-04-20 19:44:09,b'Ok this was really difficult #RingStruck4 https://t.co/ezqQSfyz8f',California
2018-04-20 19:44:07,"b""My women's  #ringstruck4 https://t.co/UNknHH9uMm""",California
2018-04-20 19:43:53,b'RT @WrestlingSheet: you forgot the house of horrors match at payback for the wwe championship. \n\n#ringstruck4 https://t.co/QKGHfXVKGK',California
2018-04-20 19:43:46,b' #RingStruck4 RT @WrestlingSheet: the movie version of this brought some incredible discussion - so this felt needed..\n\nwe want to see the four matches t\xe2\x80\xa6',California
2018-04-20 19:43:11,"b"" #RingStruck4 I'm hopping right into this and these are the four wrestling matches that stand above all in my heart and soul.\xe2\x80\xa6 https://t.co/R4WX2QCyYE""",California
2018-04-20 19:43:08,"b""@WrestlingSheet Here's my whacky stab at your #ringstruck4 thing https://t.co/DK0BKZPAB4""",California
2018-04-20 19:43:05,"b' #RingStruck4 RT @CenationHLR6: These 4 matches represented everything I love about the WWE, the storytelling for all of these were simply fantastic and\xe2\x80\xa6'",California
2018-04-20 19:43:03,b' #RingStruck4 Hart v Austin being my fav match of all time. Absolute classic.\nThe world of NXT was introduced to me when I watche\xe2\x80\xa6 https://t.co/Ip7whh2Pa4',California
2018-04-20 19:42:57,b'#RingStruck4 This...was damn difficult. https://t.co/gzdxitw2gB',California
2018-04-20 19:42:38,b'Let\xe2\x80\x99s go one level deeper lads. #RingStruck4 https://t.co/HdECVvWfoj',California
2018-04-20 19:42:34,"b""RT @workratewarrior: #RingStruck4 If you haven't seen Angle vs Lesnar 60 min ironman match, I feel sorry for you. https://t.co/9eGLsuWBth""",California
2018-04-20 19:42:20,b'RT @DanRyckert: First four I thought of for #RingStruck4 https://t.co/ApFruOuDBj',California
2018-04-20 19:42:17,b' #RingStruck4 RT @WrestlingSheet: the movie version of this brought some incredible discussion - so this felt needed..\n\nwe want to see the four matches t\xe2\x80\xa6',California
2018-04-20 19:42:17,b' #RingStruck4 RT @WrestlingSheet: the movie version of this brought some incredible discussion - so this felt needed..\n\nwe want to see the four matches t\xe2\x80\xa6',California
2018-04-20 19:42:11,b' #RingStruck4 CM Punk vs John Cena(Money In The Bank)\nEddie Guerrero vs Brock Lesnar(No Way Out)\nBatista vs Triple H(Wrestlemania\xe2\x80\xa6 https://t.co/jAwTtLsjTA',California
2018-04-20 19:41:49,b'RT @WrestlingSheet: you forgot the house of horrors match at payback for the wwe championship. \n\n#ringstruck4 https://t.co/QKGHfXVKGK',California
2018-04-20 19:41:44,b'@WrestlingSheet #ringstruck4 THIS WAS SO HARD!!! So many choices but these matches i have watched hundreds of times\xe2\x80\xa6 https://t.co/CvromL5CAX',California
2018-04-20 19:41:37,b' #RingStruck4 - The Match that made me love wrestling.\n- First NXT match I watched. (after the game-show)\n- Simply one of the bes\xe2\x80\xa6 https://t.co/Tk5R3JS9Xu',California
2018-04-20 19:41:30,"b"" #RingStruck4 As a 30+year fan of professional wrestling, it's difficult for me to narrow it down to just four matches, but WCW i\xe2\x80\xa6 https://t.co/2B8eB4Z6VL""",California
2018-04-20 19:41:27,b' #RingStruck4 RT @WrestlingSheet: the movie version of this brought some incredible discussion - so this felt needed..\n\nwe want to see the four matches t\xe2\x80\xa6',California
2018-04-20 19:40:59,b'Bloop #ringstruck4 https://t.co/Ylhum2ukBf',California
2018-04-20 19:40:57,b'I want to put thought into this and post my #ringstruck4 when I get home',California
2018-04-20 19:40:55,"b"" #RingStruck4 So @WrestlingSheet gave an idea for 4 matches that shaped you as the fan you are today. \n\nFor me it's: \n\nTLC Wrestl\xe2\x80\xa6 https://t.co/vkBK3kyr57""",California
2018-04-20 19:40:33,b' #RingStruck4 Those four matches are the standouts of my list of favourites. Yes 3 of them are quite recent but no matches really\xe2\x80\xa6 https://t.co/gePSIx8qn5',California
2018-04-20 19:40:01,b'2/2: Matches that brought me back to wrestling as an adult. #ringstruck4 https://t.co/6VgVfKDblX',California
2018-04-20 19:39:59,b'1/2: Matches that got me hooked on wrestling as a kid. #ringstruck4 https://t.co/6v3RITk1xX',California
2018-04-20 19:39:32,b'#RingStruck4                                                       Hart/Piper - the match that got me hooked.\n\nStin\xe2\x80\xa6 https://t.co/996Vfs9xrF',California
2018-04-20 19:39:17,b'Patiently waiting for @hills90 to give us his #ringstruck4',California
2018-04-20 19:39:02,b' #RingStruck4 RT @WrestlingSheet: one of the best network tv shown matches of all time is angle vs lesnar iron man on smackdown. a true classic. \n\n#rings\xe2\x80\xa6',California
2018-04-20 19:38:58,b' #RingStruck4 1. I was very young but I knew we were watching an instant classic. \n\n2. Attended my 1st takeover &amp; seen a satisfyi\xe2\x80\xa6 https://t.co/miISTL5jLY',California
2018-04-20 19:38:36,b' #RingStruck4 these arent even accurate bc I know im missing SO MANY so I dont even wanna tweet this bc its way to hard to rememb\xe2\x80\xa6 https://t.co/aClcZgV6PI',California
2018-04-20 19:38:26,"b'Only four? Tough choices, but here are mine. #Ringstruck4 https://t.co/Nok7XnW3J8'",California
