2018-04-20 18:14:51,b' #LABCSummit18 RT @SeaAsmaRun: \xe2\x80\x9cOur underserved communities feel the impacts of #climatechange the most and the hardest. We see how impacts on salmon effe\xe2\x80\xa6',California
2018-04-20 18:14:43,"b'RT @LACIncubator: ""Transportation electrification is the biggest thing we need to focus on."" - David H. Wright (GM, @LADWP) #LABCSummit18 h\xe2\x80\xa6'",California
2018-04-20 18:12:55,"b' #LABCSummit18 #ClimateChange will affect everyone, but our underserved communities feel the impacts the most and hardest. As we m\xe2\x80\xa6 https://t.co/GTyWlE9PcQ'",California
2018-04-20 18:12:19,b' #LABCSummit18 \xe2\x80\x9cOur underserved communities feel the impacts of #climatechange the most and the hardest. We see how impacts on sal\xe2\x80\xa6 https://t.co/JsUzDPubBd',California
2018-04-20 18:11:48,"b'RT @LACIncubator: ""Transportation electrification is the biggest thing we need to focus on."" - David H. Wright (GM, @LADWP) #LABCSummit18 h\xe2\x80\xa6'",California
2018-04-20 18:11:32,"b' #LABCSummit18 ""Transportation electrification is the biggest thing we need to focus on."" - David H. Wright (GM, @LADWP)\xe2\x80\xa6 https://t.co/RondPsEtJc'",California
2018-04-20 18:11:22,b' #LABCSummit18 Siting affordable housing near public transportation is one of the best things we can do to de-carbonize the econom\xe2\x80\xa6 https://t.co/130m0NBfJA',California
2018-04-20 17:51:18,b'Washington state has highest GDP in US. How much of that is  @JeffBezos bank balance? #LABCSummit18',California
2018-04-20 17:49:47,b'RT @labctweets: The West Coast Leader are here! Thank you @OregonGovBrown  @GovInslee @MayorOfLA #LABCSummit18 https://t.co/B4TrwDWf9X',California
2018-04-20 17:49:12,"b"" #LABCSummit18 RT @SCE_HaigK: So Cal Edison is proud to sponsor and participate in today's LABC 12th Annual Sustainability Summit @GettyMuseum #LABCsummit\xe2\x80\xa6""",California
2018-04-20 17:47:30,b'Chatting #greenjobs and #SustainableDevelopment at #LABCSummit18 with @OregonGovBrown @MayorOfLA @GovInslee https://t.co/qSJwX484Xx',California
2018-04-20 17:46:45,"b' #LABCSummit18 \xe2\x80\x9cDo it for the right reason but do it for the practical reasons,\xe2\x80\x9d says @MayorOfLA on producing clean energy jobs, a\xe2\x80\xa6 https://t.co/fUDNpyDaMY'",California
2018-04-20 17:45:35,b' #LABCSummit18 West coast economies have grown faster than the rest of the country while also reducing #GHG emissions.\xe2\x80\xa6 https://t.co/ZcxSWhwZVH',California
2018-04-20 17:45:28,b'#LA has reduced its #GHG emissions by 11% in 1 year - @MayorOfLA @ericgarcetti #LABCSummit18 #LosAngeles\xe2\x80\xa6 https://t.co/XhjL2GnNlq',California
2018-04-20 17:44:56,"b""RT @OregonGovBrown: Starting now! I'm joining @GovInslee and @MayorOfLA at #LABCSummit18 to discuss #ClimateAction, watch it live: https://\xe2\x80\xa6""",California
2018-04-20 17:44:41,b'The West Coast Leader are here! Thank you @OregonGovBrown  @GovInslee @MayorOfLA #LABCSummit18 https://t.co/B4TrwDWf9X',California
2018-04-20 17:44:01,b'@LuskinCenter data on screen w @MayorOfLA @OregonGovBrown @WAStateGov #LABCSummit18 #SustainableDevelopment\xe2\x80\xa6 https://t.co/zxH3NtUfki',California
2018-04-20 17:43:54,"b""RT @OregonGovBrown: Starting now! I'm joining @GovInslee and @MayorOfLA at #LABCSummit18 to discuss #ClimateAction, watch it live: https://\xe2\x80\xa6""",California
2018-04-20 17:43:53,b'Clean Energy is profitable for the tax payers #LABCSummit18 #numbers don\xe2\x80\x99t lie https://t.co/6WLewNKrdb',California
2018-04-20 17:42:06,b' #LABCSummit18 There isn\xe2\x80\x99t another region in the world with leadership this dedicated to reducing emissions. @MayorOfLA @JayInslee\xe2\x80\xa6 https://t.co/oCTnSqDZVo',California
2018-04-20 17:40:29,"b""RT @OregonGovBrown: Starting now! I'm joining @GovInslee and @MayorOfLA at #LABCSummit18 to discuss #ClimateAction, watch it live: https://\xe2\x80\xa6""",California
2018-04-20 17:40:07,"b'RT @SDGIS: Excellent panel on Technology-Enabled Climate Solutions at #LABCSummit18! #IoT, #AI and GIS (we\xe2\x80\x99d bet) will be crucial in leadin\xe2\x80\xa6'",California
2018-04-20 17:39:45,"b'Excellent panel on Technology-Enabled Climate Solutions at #LABCSummit18! #IoT, #AI and GIS (we\xe2\x80\x99d bet) will be cruc\xe2\x80\xa6 https://t.co/zUFHobPp5B'",California
2018-04-20 17:38:34,"b""RT @OregonGovBrown: Starting now! I'm joining @GovInslee and @MayorOfLA at #LABCSummit18 to discuss #ClimateAction, watch it live: https://\xe2\x80\xa6""",California
2018-04-20 17:37:13,"b""RT @OregonGovBrown: Starting now! I'm joining @GovInslee and @MayorOfLA at #LABCSummit18 to discuss #ClimateAction, watch it live: https://\xe2\x80\xa6""",California
2018-04-20 17:36:01,"b""RT @OregonGovBrown: Starting now! I'm joining @GovInslee and @MayorOfLA at #LABCSummit18 to discuss #ClimateAction, watch it live: https://\xe2\x80\xa6""",California
2018-04-20 17:35:43,"b""RT @OregonGovBrown: Starting now! I'm joining @GovInslee and @MayorOfLA at #LABCSummit18 to discuss #ClimateAction, watch it live: https://\xe2\x80\xa6""",California
2018-04-20 17:35:07,"b""Starting now! I'm joining @GovInslee and @MayorOfLA at #LABCSummit18 to discuss #ClimateAction, watch it live:\xe2\x80\xa6 https://t.co/SORrEXi9iT""",California
2018-04-20 17:35:02,b'RT @SCE_JanelleH: Excited to sponsor @labctweets Regional Solutions for an Inclusive Clean Economy Summit #LABCSummit18 https://t.co/FkHtmD\xe2\x80\xa6',California
2018-04-20 17:34:45,b' #LABCSummit18 RT @elipmen: Electric needs will increase 50% if all passenger vehicles go electric \xe2\x9a\xa1\xef\xb8\x8f says @LADWP GM so they are planning for future load\xe2\x80\xa6',California
